kind,query,algorithm,n,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
exponential,hit,interpolation_search,10000,319.703125,2.0914062588417437e-05,2.1809374857184594e-05,2.0914062588417437e-05,2.0795312366317376e-05,2.0971875073882984e-05,2.07765624509193e-05
exponential,miss,linear_search,10000,10000,0.0007694828125295317,0.000739142187512698,0.000889053125092687,0.000771423437527119,0.0007693437498801359,0.0007694828125295317
exponential,miss,binary_search,10000,27,2.3296875042433385e-06,2.3296875042433385e-06,2.3296875042433385e-06,2.321874944755109e-06,2.324999968550401e-06,2.4140624645951902e-06
exponential,miss,interpolation_search,10000,322.71875,2.1209375063335756e-05,2.1423437601697515e-05,2.091250007651979e-05,2.1145312530279625e-05,2.1209375063335756e-05,2.2048437585908687e-05
exponential,hit,linear_search,30000,16688.703125,0.0013054828125405038,0.0013631125000301836,0.0012594500001341657,0.001365590625027835,0.001284014062548522,0.0013054828125405038
exponential,hit,binary_search,30000,24.78125,3.0156249977153493e-06,2.221875092800474e-06,2.17968749893771e-06,3.0156249977153493e-06,3.018750021510641e-06,3.101562469964847e-06
exponential,hit,interpolation_search,30000,346.265625,2.44062498495623e-05,2.466718751747976e-05,2.5643750177550828e-05,2.3639062646907405e-05,2.438593742226658e-05,2.44062498495623e-05
exponential,miss,linear_search,30000,30000,0.002386146874869155,0.002403398437309079,0.002386146874869155,0.00240465156252867,0.0023354359373115585,0.0022289890623596875
exponential,miss,binary_search,30000,29.78125,2.6031250399682904e-06,2.7671874249790562e-06,2.6062498363899067e-06,2.595312480480061e-06,2.592187456684769e-06,2.6031250399682904e-06
exponential,miss,interpolation_search,30000,351.78125,2.4476562430209015e-05,2.4476562430209015e-05,2.4618749876026413e-05,2.4609375032014214e-05,2.4331249960596324e-05,2.4075000055745477e-05
exponential,hit,linear_search,100000,51108.65625,0.004489510937446539,0.004296817187650959,0.004375134374868139,0.00465486562507067,0.004589246874957098,0.004489510937446539
exponential,hit,binary_search,100000,26,2.229687424915028e-06,2.3328125280386303e-06,2.9875000109313987e-06,2.22499988922209e-06,2.229687424915028e-06,2.2265626284934115e-06
