kind,algorithm,pattern_id,pattern,m,n,matches,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
texts_natural.txt,naive,8,rapi sunosa bivonive kituka,27,999999,1,1047951,0.24915680001140572,0.24461880000308156,0.2455076000042027,0.24915680001140572,0.25130129999888595,0.2522923999931663
texts_natural.txt,KMP,8,rapi sunosa bivonive kituka,27,999999,1,1039336,0.14941140000883024,0.1532227999996394,0.14824290000251494,0.14941140000883024,0.15111059999617282,0.1469177000108175
texts_natural.txt,Rabin-Karp,8,rapi sunosa bivonive kituka,27,999999,1,27,0.3425951000099303,0.34494359999371227,0.3367988999962108,0.3458863999985624,0.3425951000099303,0.33830820000730455
texts_natural.txt,BM bad,8,rapi sunosa bivonive kituka,27,999999,1,105076,0.043350899999495596,0.04347179998876527,0.04325950000202283,0.04331839999940712,0.043350899999495596,0.04388180001114961
texts_natural.txt,BM both,8,rapi sunosa bivonive kituka,27,999999,1,99060,0.041279500001110137,0.04123119999712799,0.041436000014073215,0.04092040000250563,0.041279500001110137,0.04133329998876434
texts_small_alphabet.txt,naive,9,ccgagegde,9,1000000,1,1166134,0.2509197000035783,0.24822690000291914,0.2522958000045037,0.2483563999994658,0.2509197000035783,0.26520419999724254
texts_small_alphabet.txt,KMP,9,ccgagegde,9,1000000,1,1139640,0.16503480001119897,0.1937370999949053,0.16503480001119897,0.1611099000001559,0.1672281000064686,0.15815299999667332
texts_small_alphabet.txt,Rabin-Karp,9,ccgagegde,9,1000000,1,9,0.34080409999296535,0.34080409999296535,0.33435269999608863,0.340203499989002,0.346332999994047,0.34334490000037476
texts_small_alphabet.txt,BM bad,9,ccgagegde,9,1000000,1,222982,0.0928931999951601,0.09232030001294333,0.09165399998892099,0.0928931999951601,0.09331430000020191,0.0935011000110535
texts_small_alphabet.txt,BM both,9,ccgagegde,9,1000000,1,210920,0.06383549999736715,0.07936690001224633,0.06127310000010766,0.06170380000548903,0.06470730000000913,0.06383549999736715
