kind,algorithm,n,range,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
sorted,quick_sort,30000,1999880,0.25141460000304505,0.25141460000304505,0.28032530000200495,0.24799109999730717,0.2704068000020925,0.24662249999528285
sorted,sorted,30000,1999880,0.00022990000434219837,0.00031380000291392207,0.000229199999012053,0.00020930000755470246,0.0002457000082358718,0.00022990000434219837
sorted,merge_sort,100000,1999940,0.38764139999693725,0.38794610000331886,0.3871644000028027,0.3853917999949772,0.38764139999693725,0.4079307000065455
sorted,counting_sort,100000,1999940,0.2744922999991104,0.27710259999730624,0.26767210000252817,0.2744922999991104,0.27667019999353215,0.26454479999665637
sorted,radix_sort,100000,1999940,0.2915614999947138,0.2899611000029836,0.2977286999957869,0.2915614999947138,0.2800429000053555,0.29533639999863226
sorted,heap_sort,100000,1999940,0.6214968000131194,0.6118733000039356,0.6258202000026358,0.6198656000051415,0.6214968000131194,0.6241399999998976
sorted,quick_sort,100000,1999940,1.0040803999872878,1.0040803999872878,1.0941366999904858,1.013830700001563,0.957271999999648,0.9997142000065651
sorted,sorted,100000,1999940,0.0014949999895179644,0.00225569999020081,0.0021096999989822507,0.0014288999955169857,0.0014949999895179644,0.001494500000262633
reversed,merge_sort,1000,1995785,0.002287200011778623,0.002287200011778623,0.002184599987231195,0.00240019999910146,0.0023027999995974824,0.002274099999340251
reversed,counting_sort,1000,1995785,0.19695499999215826,0.19498159999784548,0.19695499999215826,0.20443430000159424,0.2008878999913577,0.19409859999723267
reversed,radix_sort,1000,1995785,0.0018254000024171546,0.0018165999936172739,0.001820000004954636,0.0018446999893058091,0.0018254000024171546,0.0018257000047015026
reversed,heap_sort,1000,1995785,0.002707799998461269,0.0027006000018445775,0.002854800011846237,0.00271950000023935,0.002707799998461269,0.002683500002603978
reversed,quick_sort,1000,1995785,0.005638600006932393,0.005048699997132644,0.005955999993602745,0.005638600006932393,0.005518900012248196,0.006639500003075227
reversed,sorted,1000,1995785,5.699999746866524e-06,6.100002792663872e-06,5.900001269765198e-06,5.399997462518513e-06,5.399997462518513e-06,5.699999746866524e-06
reversed,merge_sort,3000,1999280,0.008186799997929484,0.007955599998240359,0.008062900000368245,0.008212100001401268,0.008186799997929484,0.008636800004751422
reversed,counting_sort,3000,1999280,0.20721690000209492,0.20101999999315012,0.20721690000209492,0.20289990000310354,0.20819370000390336,0.2074791000050027
reversed,radix_sort,3000,1999280,0.005622299999231473,0.005745999995269813,0.006057699996745214,0.005622299999231473,0.005537100005312823,0.0055450000072596595
reversed,heap_sort,3000,1999280,0.010550699997111224,0.010660900006769225,0.009800600004382432,0.010238999995635822,0.010550699997111224,0.010924200003501028
reversed,quick_sort,3000,1999280,0.01971360000607092,0.01971360000607092,0.018941499991342425,0.02118180000979919,0.019297800012282096,0.026902600002358668
reversed,sorted,3000,1999280,5.089999467600137e-05,5.2700008382089436e-05,6.350000330712646e-05,5.089999467600137e-05,4.619998799171299e-05,4.710000939667225e-05
reversed,merge_sort,10000,1999894,0.030549100003554486,0.029742200000328012,0.03030679999210406,0.030549100003554486,0.03057680001074914,0.03093899998930283
reversed,counting_sort,10000,1999894,0.21129479999945033,0.2112448999978369,0.2127285999886226,0.21129479999945033,0.21459109999705106,0.21038140000018757
reversed,radix_sort,10000,1999894,0.019480999995721504,0.019480999995721504,0.019922000006772578,0.01958849999937229,0.018979799991939217,0.01919839999754913
reversed,heap_sort,10000,1999894,0.04079020000062883,0.04079269999056123,0.04083060000266414,0.03944390000833664,0.04015060000529047,0.04079020000062883
reversed,quick_sort,10000,1999894,0.071662300004391,0.07534470000246074,0.07058300000790041,0.07228029999532737,0.071662300004391,0.07115129999874625
reversed,sorted,10000,1999894,8.250000246334821e-05,7.589999586343765e-05,0.0003618000046117231,9.09000082174316e-05,7.979999645613134e-05,8.250000246334821e-05
reversed,merge_sort,30000,1999880,0.10003040000447072,0.10048969999479596,0.10254219999478664,0.09641379999811761,0.10003040000447072,0.0990079000039259
reversed,counting_sort,30000,1999880,0.22665119999146555,0.22665119999146555,0.22989649999362882,0.23042599999462254,0.22050290000333916,0.22537429998919833
reversed,radix_sort,30000,1999880,0.06395840000186581,0.06946460000472143,0.06185230000119191,0.06583299998601433,0.06378830000176094,0.06395840000186581
reversed,heap_sort,30000,1999880,0.1466528000019025,0.1462790999939898,0.14123269999981858,0.1466528000019025,0.14983589999610558,0.14697699999669567
reversed,quick_sort,30000,1999880,0.26681069999176543,0.2781982999877073,0.27047630000743084,0.2594325999962166,0.26681069999176543,0.2660283999866806
